"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2021","7.40","7.40","7.45","7.30","12.49M","0.00%"
"07/29/2021","7.40","7.45","7.50","7.40","10.12M","-0.67%"
"07/28/2021","7.45","7.50","7.50","7.45","4.11M","-0.67%"
"07/27/2021","7.50","7.50","7.50","7.40","6.94M","0.00%"
"07/26/2021","7.50","7.50","7.50","7.35","3.01M","0.00%"
"07/23/2021","7.50","7.50","7.50","7.30","5.60M","0.00%"
"07/22/2021","7.50","7.25","7.50","7.30","6.26M","3.45%"
"07/19/2021","7.25","7.30","7.30","7.20","4.31M","-0.68%"
"07/16/2021","7.30","7.20","7.35","7.25","4.07M","1.39%"
"07/15/2021","7.20","7.25","7.25","7.20","2.51M","-0.69%"
"07/14/2021","7.25","7.20","7.30","7.20","3.27M","0.69%"
"07/13/2021","7.20","7.50","7.45","7.20","6.82M","-4.00%"
"07/12/2021","7.50","7.70","7.65","7.50","5.65M","-2.60%"
"07/09/2021","7.70","7.60","7.70","7.50","10.04M","1.32%"
"07/08/2021","7.60","7.60","7.65","7.55","7.82M","0.00%"
"07/07/2021","7.60","7.50","7.75","7.55","34.80M","1.33%"
"07/06/2021","7.50","7.40","7.50","7.45","30.91M","1.35%"
"07/05/2021","7.40","7.40","7.50","7.35","11.82M","0.00%"
"07/02/2021","7.40","7.40","7.50","7.40","5.30M","0.00%"
"07/01/2021","7.40","7.35","7.40","7.35","9.74M","0.68%"
"06/30/2021","7.35","7.30","7.35","7.25","10.41M","0.68%"
"06/29/2021","7.30","7.20","7.25","7.20","5.21M","1.39%"
"06/28/2021","7.20","7.10","7.25","7.10","16.02M","-0.69%"
"06/25/2021","7.25","7.20","7.25","7.20","15.66M","0.69%"
"06/24/2021","7.20","7.10","7.25","7.10","8.50M","1.41%"
"06/23/2021","7.10","7.15","7.20","7.10","9.89M","-0.70%"
"06/22/2021","7.15","7.30","7.20","7.10","12.39M","-2.05%"
