"Date","Price","Open","High","Low","Vol.","Change %"
"09/03/2024","27.00","27.50","27.00","27.00","1.45M","-1.82%"
"09/02/2024","27.50","28.30","27.50","27.50","833.76K","-2.83%"
"08/30/2024","28.30","28.30","28.30","28.30","594.67K","0.00%"
"08/29/2024","28.30","28.00","28.50","28.00","1.43M","1.07%"
"08/28/2024","28.00","28.15","28.10","28.00","1.38M","-0.53%"
"08/27/2024","28.15","28.65","28.15","28.10","797.75K","-1.75%"
"08/26/2024","28.65","28.65","28.65","28.65","211.74K","0.00%"
"08/23/2024","28.65","28.65","28.65","28.65","296.98K","0.00%"
"08/22/2024","28.65","28.65","28.65","28.65","191.78K","0.00%"
"08/21/2024","28.65","28.00","29.50","28.65","2.31M","2.32%"
"08/20/2024","28.00","28.00","28.00","28.00","524.15K","0.00%"
"08/19/2024","28.00","29.00","28.00","28.00","1.76M","-3.45%"
"08/16/2024","29.00","29.00","29.00","29.00","395.81K","0.00%"
"08/15/2024","29.00","29.60","29.00","29.00","377.68K","-2.03%"
"08/14/2024","29.60","31.00","29.60","29.60","427.86K","-4.52%"
"08/13/2024","31.00","31.00","31.00","31.00","216.17K","0.00%"
"08/12/2024","31.00","31.00","31.00","31.00","682.13K","0.00%"
"08/09/2024","31.00","29.00","31.00","31.00","760.73K","6.90%"
"08/08/2024","29.00","26.40","29.00","27.05","1.51M","9.85%"
"08/07/2024","26.40","26.40","26.40","26.40","519.19K","0.00%"
"08/06/2024","26.40","26.40","26.40","26.40","574.28K","0.00%"
"08/05/2024","26.40","26.00","26.40","26.40","442.70K","1.54%"
"08/02/2024","26.00","26.00","26.90","26.00","348.32K","0.00%"
"08/01/2024","26.00","25.25","26.00","25.50","5.43M","2.97%"
"07/31/2024","25.25","28.00","25.25","25.25","914.29K","-9.82%"
"07/30/2024","28.00","29.40","29.40","28.00","10.71M","-4.76%"
"07/29/2024","29.40","29.80","29.95","29.40","626.42K","-1.34%"
"07/26/2024","29.80","29.80","29.80","29.80","8.18M","0.00%"
"07/25/2024","29.80","29.75","29.80","29.80","17.19M","0.17%"
"07/24/2024","29.75","29.75","30.75","29.65","443.34K","0.00%"
"07/23/2024","29.75","29.75","30.00","29.75","540.85K","0.00%"
"07/22/2024","29.75","29.75","30.75","29.65","544.97K","0.00%"
"07/19/2024","29.75","29.75","29.75","29.75","1.35M","0.00%"
"07/18/2024","29.75","29.95","29.75","29.75","781.27K","-0.67%"
"07/17/2024","29.95","29.50","29.95","29.70","1.71M","1.53%"
"07/16/2024","29.50","29.50","29.50","29.50","720.58K","0.00%"
"07/15/2024","29.50","29.70","29.50","29.50","1.69M","7.75%"
"07/12/2024","27.38","27.38","30.00","29.00","463.60K","0.00%"
"07/11/2024","27.38","27.38","29.95","29.10","959.23K","0.00%"
"07/10/2024","27.38","27.38","27.38","27.38","946.99K","0.00%"
"07/09/2024","27.38","27.38","29.95","29.40","845.55K","0.00%"
"07/08/2024","27.38","26.83","27.38","27.38","712.93K","2.06%"
"07/05/2024","26.83","26.83","29.90","28.90","335.15K","0.00%"
"07/04/2024","26.83","26.83","29.95","29.10","571.22K","0.00%"
"07/03/2024","26.83","26.83","29.95","29.00","425.60K","0.00%"
"07/02/2024","26.83","26.73","26.83","26.73","1.38M","0.34%"
"07/01/2024","26.73","27.19","26.73","26.73","797.20K","-1.69%"
"06/28/2024","27.19","27.19","27.19","27.19","1.03M","0.00%"
"06/27/2024","27.19","26.73","27.65","26.83","2.71M","1.72%"
"06/26/2024","26.73","26.50","27.52","26.73","2.63M","0.87%"
"06/25/2024","26.50","26.73","26.73","26.50","812.76K","-0.86%"
"06/24/2024","26.73","26.73","26.73","26.73","1.74M","0.00%"
"06/21/2024","26.73","26.73","31.45","29.10","569.60K","0.00%"
"06/20/2024","26.73","26.73","31.50","28.50","1.14M","0.00%"
"06/19/2024","26.73","29.18","26.73","26.73","1.61M","-8.37%"
"06/14/2024","29.18","29.41","29.18","29.18","1.97M","-0.78%"
"06/13/2024","29.41","26.73","29.41","27.65","5.71M","10.00%"
"06/11/2024","26.73","25.81","26.73","25.81","110.20M","3.57%"
"06/10/2024","25.81","25.21","25.81","25.81","49.09M","2.38%"
"06/07/2024","25.21","25.72","25.81","25.21","35.20M","-1.97%"
"06/06/2024","25.72","26.36","25.72","25.72","763.55K","-2.45%"
"06/05/2024","26.36","26.36","28.60","26.00","1.07M","0.00%"
"06/04/2024","26.36","23.97","26.36","25.35","2.19M","10.00%"
"06/03/2024","23.97","24.43","24.43","23.97","1.46M","-1.89%"
"05/31/2024","24.43","24.47","24.43","24.43","1.42M","-0.19%"
"05/30/2024","24.47","24.43","24.47","24.47","1.36M","0.19%"
"05/29/2024","24.43","24.80","24.43","24.43","2.11M","-1.49%"
