Stock,Model,MSE,RMSE,MAE,MAPE,R2,Directional_Accuracy,QLIKE,MZ_Alpha,MZ_Beta
ETI,Ridge,0.0016687883636689316,0.04085080615690383,0.03641263203826794,7.111820313197039,0.8885792422075229,66.66666666666666,-0.34402797743496,-0.05788550943421149,1.1188892284781058
ETI,SVR,0.0076370627244011155,0.087390289645939,0.06954050577638002,11.66021412098707,0.49009273159681144,66.66666666666666,-0.2997216182150327,-0.1847082219182942,1.5504155862140725
ZENITH,Random Forest,0.0027244163198166358,0.052195941602931506,0.04070669553262003,16.653495243030434,0.9001578729878649,59.87261146496815,-1.411120785642261,-0.025519975851762727,0.987311378283633
ZENITH,XGBoost,0.0020515991698883246,0.045294582125109895,0.035104741359543494,13.750780753052913,0.9248147122713729,63.05732484076433,-1.422582100949432,-0.06081971642894158,1.1545875872124551
ZENITH,Ridge,0.0015311135344693476,0.039129445874805685,0.02570941759083644,9.172990631472738,0.9438890338210951,64.3312101910828,-1.4102385483281863,0.00644618688015251,0.9557943546242804
ZENITH,SVR,0.04407086844418484,0.20993062769444776,0.16711964188545025,80.72379049984407,-0.615072268042921,52.22929936305732,-0.9823980522492897,-0.09333412672455979,0.8597735631147049
CWG,Random Forest,0.0008756379622246489,0.02959118048041762,0.017603386499487235,4.373996944049787,0.2228090512298384,44.44444444444444,-0.600739910145982,-0.5257098108217101,2.111403470503232
CWG,XGBoost,0.0008880850743575367,0.029800756271570302,0.02079311989398259,4.925460163995895,0.21176135423023534,55.55555555555556,-0.6011022959729766,0.0483081764663938,0.8618049254291542
CWG,Ridge,0.0014774431019796298,0.038437522058265276,0.03358647243295549,7.581390520377794,-0.3113357982609817,22.22222222222222,-0.5935738269242903,0.24394256846505147,0.47484490670828283
CWG,SVR,0.0007033054391580331,0.026519906469632072,0.02000261797951284,4.761980066484339,0.3757664181829824,66.66666666666666,-0.6023470420116095,-0.02867214421076701,1.0429812695403573
NESTLE,Random Forest,0.003617807368567626,0.06014821168220736,0.03910224811175268,12.211824386042155,0.6256069135340301,55.55555555555556,-0.8070782520457579,-0.13398230594797436,1.218163296120621
NESTLE,XGBoost,0.0015000126710789977,0.038729997044655164,0.02670944973034195,7.4142965976998205,0.8447694096312048,33.33333333333333,-0.833038916583725,-0.07858058464314842,1.1709787463794719
NESTLE,Ridge,0.05371591043056486,0.23176693127054357,0.12565561229132907,37.01047294905121,-4.5588547010979,55.55555555555556,93279607394503.78,0.3202200316473055,0.2263371653292867
NESTLE,SVR,0.025806795048610193,0.16064493471196095,0.12667759645717738,26.7847382378519,-1.6706467939638387,22.22222222222222,-0.3069665204893083,0.6917414795238329,-1.0086693887331266
NB,Random Forest,0.00037352349940861717,0.019326756049803526,0.01561738410235047,6.7244229384283285,0.7836493297510485,66.66666666666666,-1.8114271575082732,-0.0528799634996139,1.157105724577039
NB,XGBoost,0.0006096504952541173,0.02469110153990942,0.020346547942895036,8.787325042426556,0.6468808696784483,77.77777777777779,-1.8038121075055458,-0.06062592714551552,1.178154146316777
NB,Ridge,0.003160037300760146,0.056214209064614135,0.05029955039593096,20.383532495164083,-0.8303431754992092,77.77777777777779,-1.6117698501491624,0.08662925744666897,0.8152832457758683
NB,SVR,0.015313616187562776,0.12374819670428647,0.1169918949829564,49.644117570641406,-7.869886717595813,77.77777777777779,-1.563113054138262,0.054847074743691875,0.5278751841009386
ACCESS,Random Forest,0.00305932819911763,0.055311194157400274,0.04063023181759096,12.497705770810263,0.8134869760908416,74.57627118644068,-0.9309342500562897,-0.0596760608832067,1.1271843207721013
